tax,n_gb_coi,n_bold_coi,n_gb_16s
Sertulariidae,NA,NA,NA
Anthoptilum grandiflorum,7,16,2
Henricia sp.,NA,NA,NA
Stryphnus sp.,NA,NA,NA
Stryphnus sp.,NA,NA,NA
Mediaster bairdi,0,0,1
Phormosoma placenta,0,0,0
Gnathophausia zoea,5,13,1
Stereomastis nana,3,2,0
Porifera,NA,NA,NA
Balticina finmarchica,2,0,2
Acanthephyra purpurea,63,31,24
Acanthephyra pelagica,18,28,5
Pasiphaea tarda,12,19,0
Zoroaster fulgens,4,0,6
Porifera,NA,NA,NA
Hormathiidae,NA,NA,NA
Didemnidae,NA,NA,NA
Gnathophausia zoea,5,13,1
Astarte sp.,NA,NA,NA
Mediaster bairdi,0,0,1
Bathybiaster vexillifer,0,7,0
Stereomastis nana,3,2,0
Anthoptilum grandiflorum,7,16,2
Geodia sp.,NA,NA,NA
Porifera,NA,NA,NA
Neolithodes grimaldii,3,3,0
Cirrothauma murrayi,3,3,4
Taonius pavo,3,5,2
Atolla sp.,NA,NA,NA
Gonatus fabricii,18,19,0
Periphylla periphylla,59,97,4
Heteropolypus sp.,NA,NA,NA
Balticina finmarchica,2,0,2
Arcoscalpellum michelottianum,2,2,0
Colus islandicus,2,13,1
Chiroteuthis veranii,16,8,8
Distichoptilum gracile,12,11,1
Duva florida,0,0,0
Actinoscyphia sp.,NA,NA,NA
Actinoscyphia sp.,NA,NA,NA
Semirossia sp.,NA,NA,NA
Heteropolypus sp.,NA,NA,NA
Geodia barretti,11,17,1
Geodia barretti,11,17,1
Geodia barretti,11,17,1
Geodia barretti,11,17,1
Geodia sp.,NA,NA,NA
Atlantopandalus propinqvus,2,15,1
Craniella sp.,NA,NA,NA
Stelletta sp.,NA,NA,NA
Polychaeta,NA,NA,NA
Ophiuroidea,NA,NA,NA
Ophiuroidea,NA,NA,NA
Didemnidae,NA,NA,NA
Nephtheidae,NA,NA,NA
Ophiomusa lymani,7,0,0
Acanthogorgia sp.,NA,NA,NA
Cirripedia,NA,NA,NA
Stryphnus sp.,NA,NA,NA
Stryphnus sp.,NA,NA,NA
Geodia macandrewii,4,1,0
Echinothuriidae,NA,NA,NA
Geodia macandrewii,4,1,0
Geodia macandrewii,4,1,0
Polychaeta,NA,NA,NA
Ophiuroidea,NA,NA,NA
Colossendeis colossea,1,5,0
Gnathophausia zoea,5,13,1
Stereomastis nana,3,2,0
Phormosoma placenta,0,0,0
Hippasteria phrygiana,176,213,0
Echinothuriidae,NA,NA,NA
Echinothuriidae,NA,NA,NA
Stereomastis sculpta,6,12,1
Stereomastis nana,3,2,0
Zoroaster fulgens,4,0,6
Zoroaster fulgens,4,0,6
Stauroteuthis syrtensis,1,3,8
Stephanauge nexilis,11,18,0
Radicipes gracilis,1,2,0
Radicipes gracilis,1,2,0
Funiculina quadrangularis,8,12,1
Heteropolypus sp.,NA,NA,NA
Nephtheidae,NA,NA,NA
Notostomus sp.,NA,NA,NA
Henricia sp.,NA,NA,NA
Pontophilus norvegicus,5,9,1
Mediaster bairdi,0,0,1
Psilaster andromeda,8,21,0
Actinostolidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Flabellum alabastrum,1,0,3
Flabellum alabastrum,1,0,3
Balticina finmarchica,2,0,2
Stephanauge nexilis,11,18,0
Parapasiphae sulcatifrons,4,7,4
Stereomastis nana,3,2,0
Pasiphaea tarda,12,19,0
Pontophilus norvegicus,5,9,1
Flabellum alabastrum,1,0,3
Nephtheidae,NA,NA,NA
Mediaster bairdi,0,0,1
Stryphnus sp.,NA,NA,NA
Geodia phlegraei,2,4,0
Geodia phlegraei,2,4,0
Geodia phlegraei,2,4,0
Hormathiidae,NA,NA,NA
Histioteuthis bonnellii,31,0,1
Cirroteuthidae,NA,NA,NA
Stephanauge nexilis,11,18,0
Flabellum alabastrum,1,0,3
Duva florida,0,0,0
Gnathophausia zoea,5,13,1
Sabinea hystrix,3,3,0
Pasiphaea tarda,12,19,0
Acanthephyra purpurea,63,31,24
Acanthephyra purpurea,63,31,24
Atolla sp.,NA,NA,NA
Atolla sp.,NA,NA,NA
Periphylla periphylla,59,97,4
Periphylla periphylla,59,97,4
Periphylla periphylla,59,97,4
Stauropathes arctica,2,0,1
Pontophilus norvegicus,5,9,1
Flabellum alabastrum,1,0,3
Flabellum alabastrum,1,0,3
Pterasteridae,NA,NA,NA
Hormathiidae,NA,NA,NA
Asconema sp.,NA,NA,NA
Pasiphaea tarda,12,19,0
Hormathiidae,NA,NA,NA
Stauropathes arctica,2,0,1
Duva florida,0,0,0
Phormosoma placenta,0,0,0
Gnathophausia zoea,5,13,1
Acanella arbuscula,4,5,6
Acanthephyra pelagica,18,28,5
Balticina finmarchica,2,0,2
Taonius pavo,3,5,2
Cirroteuthidae,NA,NA,NA
Duva florida,0,0,0
Pontophilus norvegicus,5,9,1
Phormosoma placenta,0,0,0
Flabellum alabastrum,1,0,3
Ascidiacea,NA,NA,NA
Ascidiacea,NA,NA,NA
Heteropolypus sp.,NA,NA,NA
Heteropolypus sp.,NA,NA,NA
Hormathiidae,NA,NA,NA
Buccinum sp.,NA,NA,NA
Stauropathes arctica,2,0,1
Astarte sp.,NA,NA,NA
Limopsis sp.,NA,NA,NA
Ascidiacea,NA,NA,NA
Ascidiacea,NA,NA,NA
Terebratulina septentrionalis,0,0,3
Ophiopholis aculeata,50,131,6
Nephtheidae,NA,NA,NA
Nephtheidae,NA,NA,NA
Psilaster andromeda,8,21,0
Heteropolypus sp.,NA,NA,NA
Hippasteria phrygiana,176,213,0
Ceramaster granularis,0,6,0
Stomphia coccinea,3,29,3
Stomphia coccinea,3,29,3
Stomphia coccinea,3,29,3
Iophon piceum,0,0,0
Ceramaster granularis,0,6,0
Ptychodactis sp.,NA,NA,NA
Acanella arbuscula,4,5,6
Ophiuroidea,NA,NA,NA
Flabellum alabastrum,1,0,3
Nephtheidae,NA,NA,NA
Ascidiacea,NA,NA,NA
Stryphnus sp.,NA,NA,NA
Buccinum sp.,NA,NA,NA
Geodia macandrewii,4,1,0
Geodia phlegraei,2,4,0
Geodia phlegraei,2,4,0
Geodia phlegraei,2,4,0
Geodia phlegraei,2,4,0
Aristaeopsis edwardsiana,2,3,4
Heteropolypus sp.,NA,NA,NA
Heteropolypus sp.,NA,NA,NA
Hormathiidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Flabellum alabastrum,1,0,3
Buccinum sp.,NA,NA,NA
Gonatus fabricii,18,19,0
Gonatus fabricii,18,19,0
Gnathophausia zoea,5,13,1
Pasiphaea tarda,12,19,0
Stauropathes arctica,2,0,1
Colossendeis proboscidea,0,0,0
Nymphonidae,NA,NA,NA
Acanthephyra pelagica,18,28,5
Atlantopandalus propinqvus,2,15,1
Henricia sp.,NA,NA,NA
Mediaster bairdi,0,0,1
Hormathiidae,NA,NA,NA
Taonius pavo,3,5,2
Ophioplinthus sp.,NA,NA,NA
Heteropolypus sp.,NA,NA,NA
Heteropolypus sp.,NA,NA,NA
Stauropathes arctica,2,0,1
Balticina finmarchica,2,0,2
Funiculina quadrangularis,8,12,1
Flabellum alabastrum,1,0,3
Flabellum alabastrum,1,0,3
Hormathiidae,NA,NA,NA
Actinoscyphia sp.,NA,NA,NA
Rhizaxinella sp.,NA,NA,NA
Duva florida,0,0,0
Flabellum alabastrum,1,0,3
Flabellum alabastrum,1,0,3
Flabellum alabastrum,1,0,3
Eusergestes arcticus,3,16,1
Psilaster andromeda,8,21,0
Henricia sp.,NA,NA,NA
Didemnidae,NA,NA,NA
Astarte sp.,NA,NA,NA
Hormathiidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Histioteuthis bonnellii,31,0,1
Hormathiidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Keratoisis sp.,NA,NA,NA
Henricia sp.,NA,NA,NA
Henricia sp.,NA,NA,NA
Epizoanthus sp.,NA,NA,NA
Anthomastus sp.,NA,NA,NA
Anthomastus sp.,NA,NA,NA
Solasteridae,NA,NA,NA
Parapasiphae sulcatifrons,4,7,4
Atlantopandalus propinqvus,2,15,1
Pasiphaea tarda,12,19,0
Gracilechinus sp.,NA,NA,NA
Chaceon quinquedens,4,5,0
Geodia sp.,NA,NA,NA
Geodia atlantica,3,1,0
Pachastrella sp.,NA,NA,NA
Porifera,NA,NA,NA
Porifera,NA,NA,NA
Porifera,NA,NA,NA
Thenea sp.,NA,NA,NA
Thenea sp.,NA,NA,NA
Thenea sp.,NA,NA,NA
Henricia sp.,NA,NA,NA
Henricia sp.,NA,NA,NA
Anthomastinae,NA,NA,NA
Ophioplinthus tessellata,0,0,0
Polymastia sp.,NA,NA,NA
Didemnidae,NA,NA,NA
Sabinea hystrix,3,3,0
Anthoptilum grandiflorum,7,16,2
Laetmonice sp.,NA,NA,NA
Laetmonice sp.,NA,NA,NA
Bathypolypus sp.,NA,NA,NA
Arrhoges occidentalis,0,4,0
Didemnidae,NA,NA,NA
Laetmonice sp.,NA,NA,NA
Laetmonice sp.,NA,NA,NA
Poraniomorpha hispida,0,0,1
Poraniomorpha hispida,0,0,1
Poraniomorpha hispida,0,0,1
Henricia sp.,NA,NA,NA
Lophaster furcifer,0,6,0
Leptychaster arcticus,0,2,0
Leptychaster arcticus,0,2,0
Novodinia americana,0,0,0
Actinernus nobilis,0,0,0
Mycale sp.,NA,NA,NA
Mycale sp.,NA,NA,NA
Tremaster mirabilis,1,23,3
Tremaster mirabilis,1,23,3
Tremaster mirabilis,1,23,3
Ceramaster granularis,0,6,0
Weltnerium stroemii,2,0,0
Weltnerium stroemii,2,0,0
Weltnerium stroemii,2,0,0
Colus islandicus,2,13,1
Neptunea vinlandica,0,0,0
Actiniaria,NA,NA,NA
Anthoptilum grandiflorum,7,16,2
Ctenodiscus crispatus,34,36,4
Ophiura sarsii,176,196,3
Ophiura sarsii,176,196,3
Pontaster tenuispinus,28,40,0
Actiniaria,NA,NA,NA
Ascidiacea,NA,NA,NA
Polymastia sp.,NA,NA,NA
Ophiura sarsii,176,196,3
Ophiura sarsii,176,196,3
Pontaster tenuispinus,28,40,0
Corallimorphus sp.,NA,NA,NA
Keratoisis sp.,NA,NA,NA
Actinernus nobilis,0,0,0
Tritonia newfoundlandica,0,0,0
Poraniomorpha hispida,0,0,1
Mycale sp.,NA,NA,NA
Asconema foliatum,0,0,0
Laetmonice sp.,NA,NA,NA
Stelletta rhaphidiophora,0,0,0
Stelletta rhaphidiophora,0,0,0
Geodia phlegraei,2,4,0
Geodia phlegraei,2,4,0
Stryphnus sp.,NA,NA,NA
Laetmonice sp.,NA,NA,NA
Henricia sp.,NA,NA,NA
Aplousobranchia,NA,NA,NA
Homaxinella sp.,NA,NA,NA
Melonanchora sp.,NA,NA,NA
Ophiopholis aculeata,50,131,6
Ophiopholis aculeata,50,131,6
Lophaster furcifer,0,6,0
Acanella arbuscula,4,5,6
Phakellia sp.,NA,NA,NA
Pseudarchaster sp.,NA,NA,NA
Tritonia newfoundlandica,0,0,0
Hippasteria phrygiana,176,213,0
Tremaster mirabilis,1,23,3
Buccinum sp.,NA,NA,NA
Hormathiidae,NA,NA,NA
Actinostola sp.,NA,NA,NA
Hippasteria phrygiana,176,213,0
Ophiomusa lymani,7,0,0
Benthoecetes bartletti,1,3,1
Stelletta rhaphidiophora,0,0,0
Actinernus nobilis,0,0,0
Actinostola sp.,NA,NA,NA
Graneledone verrucosa,21,1,3
Neolithodes grimaldii,3,3,0
Opisthoteuthidae,NA,NA,NA
Desmophyllum dianthus,31,44,52
Actiniaria,NA,NA,NA
Sabinea hystrix,3,3,0
Bathypolypus sp.,NA,NA,NA
Stelletta rhaphidiophora,0,0,0
Hippasteria phrygiana,176,213,0
Diplopteraster multipes,2,7,2
Terebratulina septentrionalis,0,0,3
Distichoptilum gracile,12,11,1
Zoroaster fulgens,4,0,6
Cirrothauma murrayi,3,3,4
Cirrothauma murrayi,3,3,4
Pennatula aculeata,8,15,2
Mysidae,NA,NA,NA
Mysidae,NA,NA,NA
Mysidae,NA,NA,NA
Bathybiaster vexillifer,0,7,0
Pontophilus norvegicus,5,9,1
Funiculina quadrangularis,8,12,1
Pasiphaea multidentata,8,26,1
Pasiphaea multidentata,8,26,1
Gonatus fabricii,18,19,0
Ophiopleura inermis,2,14,0
Terebellidae,NA,NA,NA
Actinostola sp.,NA,NA,NA
Lithodes maja,26,30,2
Lithodes maja,26,30,2
Benthopectinidae,NA,NA,NA
Ophiopholis aculeata,50,131,6
Hyas coarctatus,41,80,1
Leptychaster arcticus,0,2,0
Ceramaster granularis,0,6,0
Hormathiidae,NA,NA,NA
Colus holboelli,1,8,1
Neptunea despecta,4,17,1
Actiniaria,NA,NA,NA
Polymastia hemisphaerica,0,0,0
Ascidiacea,NA,NA,NA
Astarte sp.,NA,NA,NA
Bathyarca sp.,NA,NA,NA
Actinostola sp.,NA,NA,NA
Todarodes sagittatus,14,16,1
Nephtheidae,NA,NA,NA
Terebratulina septentrionalis,0,0,3
Acanthogorgia sp.,NA,NA,NA
Tentorium semisuberites,3,4,0
Neognathophausia gigas,3,4,0
Meningodora mollis,5,7,6
Myxaster sol,2,3,2
Astarte sp.,NA,NA,NA
Buccinum sp.,NA,NA,NA
Acanthogorgia sp.,NA,NA,NA
Mediaster bairdi,0,0,1
Periphylla periphylla,59,97,4
Bathybiaster vexillifer,0,7,0
Atolla sp.,NA,NA,NA
Taonius pavo,3,5,2
Neognathophausia gigas,3,4,0
Chiroteuthis veranii,16,8,8
Histodermella kagigunensis,0,0,0
Histodermella kagigunensis,0,0,0
Nudibranchia,NA,NA,NA
Lophaster furcifer,0,6,0
Hormathiidae,NA,NA,NA
Hormathiidae,NA,NA,NA
Ceramaster granularis,0,6,0
Stephanauge nexilis,11,18,0
Polymastia hemisphaerica,0,0,0
Phakellia sp.,NA,NA,NA
Stephanasterias albula,2,6,3
Axinellidae,NA,NA,NA
Actiniaria,NA,NA,NA
Pteropoda,NA,NA,NA
Ophiura sarsii,176,196,3
Forcepia sp.,NA,NA,NA
Histodermella kagigunensis,0,0,0
Polymastia sp.,NA,NA,NA
Polymastia sp.,NA,NA,NA
Laetmonice sp.,NA,NA,NA
Porifera,NA,NA,NA
Benthopectinidae,NA,NA,NA
Leptychaster arcticus,0,2,0
Ceramaster granularis,0,6,0
Ophiopholis aculeata,50,131,6
Suberites ficus,13,5,0
Porifera,NA,NA,NA
Histodermella sp.,NA,NA,NA
Polymastia sp.,NA,NA,NA
Aplousobranchia,NA,NA,NA
Histodermella sp.,NA,NA,NA
Aplousobranchia,NA,NA,NA
Chaetognatha,NA,NA,NA
Boreomysis sp.,NA,NA,NA
Boreomysis sp.,NA,NA,NA
Gennadas sp.,NA,NA,NA
Eucopia australis,1,2,0
Themisto sp.,NA,NA,NA
Acanella arbuscula,4,5,6
