"Table S2. Structure and description of the epibenthic invertebrate dataset collected during the 2022 European Union Flemish Cap bottom-trawl survey. Trawl identifies the sampling haul; Lowest_Taxon indicates the lowest taxonomic level to which the organism was identified; Number represents the number of individuals recorded; and Weight represents the total wet weight (kg). For colonial taxa, abundance was recorded as one colony per record (number = 1), and Weight corresponds to the wet weight of the entire colony.",,,
Trawl,Lowest_Taxon,Weight,Number
1,Pasiphaea,432,14
1,Acanthephyra pelag,103,19
1,Acanthephyra purpu,44,7
1,Acanthephyra,28,3
1,Gnathophausia zoea,7,2
1,Polycheles nanus,9,1
1,Dumbo octopus,2280,1
1,Mediaster bairdi,11,2
1,Echinasteridae,3,1
1,Phormosoma placent,75,5
1,Anthoptilum,9,1
1,Atollidae,4635,54
1,Periphyllidae,2350,5
1,Stryphnus sp.,404,1
1,Sponges,1038,1
2,Acanthephyra pelag,85,13
2,Acanthephyra purpu,23,4
2,Acanthephyra,10,2
2,Pasiphaea,245,9
2,Zoroaster fulgens,75,2
2,Phormosoma placent,664,36
2,Hormathiidae,153,1
2,Halipteris finmarc,21,1
2,Atollidae,4735,50
2,Periphyllidae,1420,2
2,Sponges,59,NA
3,Pasiphaea,606,23
3,Acanthephyra pelag,403,57
3,Parapasiphae sulca,6,1
3,Acanthephyra purpu,23,3
3,Acanthephyra,209,34
3,Gnathophausia zoea,5,4
3,Polycheles nanus,13,1
3,Phormosoma placent,88,7
3,Anthoptilum,42,1
3,Funiculina quadran,9,1
3,Atollidae,6240,61
3,Periphyllidae,2600,2
4,Pasiphaea,124,5
4,Parapasiphae sulca,4,1
4,Acanthephyra pelag,92,12
4,Acanthephyra purpu,23,3
4,Acanthephyra,17,2
4,Gnathophausia zoea,2,1
4,Neolithodes grimal,1605,2
4,Polycheles nanus,26,3
4,Dumbo octopus,1625,1
4,Bivalves,4,1
4,Bathybiaster vexil,46,1
4,Mediaster bairdi,9,1
4,Phormosoma placent,451,27
4,Anthoptilum,54,4
4,Atollidae,5800,61
4,Didemnidae,11,1
4,Sponges,4870,NA
4,Stryphnus sp.,1234,3
4,Geodiidae,4699,1
5,Gonatus fabricii,25,2
5,Pasiphaea,70,3
5,Acanthephyra pelag,75,11
5,Acanthephyra purpu,16,3
5,Acanthephyra,4,1
5,Pasiphaea,70,3
5,Sergestes arcticus,2,1
5,Polychelidae,2,1
5,Atollidae,4950,53
5,Periphyllidae,1580,7
5,Sponges,9,1
6,Acanthephyra pelag,89,13
6,Acanthephyra purpu,48,6
6,Acanthephyra,21,3
6,Benthesicymus bart,9,1
6,Parapasiphae sulca,27,6
6,Pasiphaea,147,5
6,Polycheles nanus,13,1
6,Sergestes arcticus,3,1
6,Cirripeda,6,1
6,Polychelidae,2,1
6,Chiroteuthis veran,199,1
6,Colus,82,1
6,Phormosoma placent,125,10
6,Heteropolypus,7,1
6,Halipteris finmarc,14,1
6,Atollidae,6570,66
6,Periphyllidae,4530,9
7,Gonatus fabricii,75,2
7,Pasiphaea,296,14
7,Acanthephyra pelag,154,22
7,Parapasiphae sulca,110,28
7,Acanthephyra purpu,44,6
7,Acanthephyra,23,3
7,Gnathophausia zoea,29,19
7,Polycheles nanus,26,5
7,Bathybiaster vexil,43,1
7,Phormosoma placent,257,18
7,Sea anemones,1266,2
7,Heteropolypus,140,57
7,Duva florida,10,2
7,Acanella arbuscula,4,1
7,Anthoptilum,253,30
7,Funiculina quadran,36,16
7,Halipteris finmarc,229,13
7,Flabellum,20,2
7,Jellyfish,185,NA
7,Atollidae,5900,59
7,Periphyllidae,4150,6
7,Sponges,18,1
8,Pasiphaea,48,2
8,Acanthephyra pelag,108,16
8,Parapasiphae sulca,51,10
8,Acanthephyra,36,7
8,Gnathophausia zoea,4,5
8,Polycheles nanus,6,1
8,Pontophilus norveg,2,1
8,Sergestes arcticus,2,1
8,Euphausiacea,1,1
8,Eucopia sculpticau,1,1
8,Globito,5,1
8,Astarte,3,1
8,Mediaster bairdi,17,1
8,Zoroaster fulgens,18,1
8,Phormosoma placent,370,32
8,Actinoscyphia,2258,2
8,Heteropolypus,59,41
8,Duva florida,14,1
8,Distichoptilum,4,1
8,Funiculina quadran,5,2
8,Halipteris finmarc,90,6
8,Flabellum,19,1
8,Atollidae,4080,46
8,Periphyllidae,5190,8
9,Pasiphaea,97,5
9,Acanthephyra pelag,55,8
9,Parapasiphae sulca,26,5
9,Acanthephyra purpu,30,4
9,Gnathophausia zoea,2,1
9,Pandalus propinquu,3,1
9,Polycheles nanus,39,8
9,Pontophilus norveg,3,1
9,Sergestes arcticus,2,1
9,Sergia robusta,1,1
9,Mediaster bairdi,15,1
9,Zoroaster fulgens,82,1
9,Phormosoma placent,226,20
9,Heteropolypus,4,3
9,Anthoptilum,9,1
9,Halipteris finmarc,10,1
9,Atollidae,2780,26
9,Periphyllidae,2830,7
9,Terebratulina sept,2,1
9,Stryphnus sp.,103,1
10,Pasiphaea,173,9
10,Acanthephyra pelag,44,6
10,Parapasiphae sulca,7,2
10,Acanthephyra,15,3
10,Gnathophausia zoea,4,3
10,Polycheles nanus,21,4
10,Sergestes arcticus,2,1
10,Cephalopod,91,1
10,Teuthowenia megalo,24,1
10,Dumbo octopus,2450,1
10,Astarte,3,3
10,Mediaster bairdi,3,1
10,Ophiomusium lymani,7,1
10,Phormosoma placent,50,6
10,Echinothuriidae,392,1
10,Heteropolypus,2,2
10,Anthoptilum,10,1
10,Funiculina quadran,6,1
10,Halipteris finmarc,23,2
10,Atollidae,2450,23
10,Periphyllidae,2560,4
11,Pasiphaea,86,3
11,Acanthephyra pelag,94,14
11,Parapasiphae sulca,3,1
11,Acanthephyra purpu,43,5
11,Acanthephyra,24,5
11,Benthesicymus bart,17,1
11,Cirripeda,2,18
11,Gnathophausia zoea,7,4
11,Pandalus propinquu,6,2
11,Polycheles nanus,34,11
11,Sergestes arcticus,4,2
11,Ophiomusium lymani,22,7
11,Brittle star,3,8
11,Phormosoma placent,548,32
11,Echinothuriidae,610,4
11,Nephtheidae,4,1
11,Acanthogorgia,79,1
11,Atollidae,4060,55
11,Periphyllidae,7680,9
11,Polychaetes,14,12
11,Didemnidae,49,4
11,Sponges,97,2
11,Stryphnus sp.,1715,2
11,Sponges,1268,11
11,Geodiidae,405330,160
12,Acanthephyra pelag,132,19
12,Acanthephyra purpu,19,3
12,Acanthephyra,20,4
12,Benthesicymus bart,54,3
12,Gnathophausia zoea,7,5
12,Parapasiphae sulca,9,2
12,Pasiphaea,48,1
12,Polycheles nanus,12,4
12,Sergestes arcticus,5,2
12,Hippasteria phrygi,130,1
12,Phormosoma placent,492,23
12,Echinothuriidae,251,3
12,Atollidae,4830,43
12,Periphyllidae,2120,7
13,Gonatus fabricii,10,1
13,Pasiphaea,197,8
13,Acanthephyra pelag,54,8
13,Parapasiphae sulca,3,1
13,Acanthephyra,18,3
13,Gnathophausia zoea,3,1
13,Polycheles nanus,7,1
13,Stereomastis sculp,23,1
13,Bathybiaster vexil,40,1
13,Ophiomusium lymani,6,1
13,Phormosoma placent,107,9
13,Halipteris finmarc,34,1
13,Atollidae,3810,42
13,Periphyllidae,5490,10
13,Polychaetes,1,1
13,Sponges,3,NA
14,Pasiphaea,62,2
14,Acanthephyra pelag,92,13
14,Parapasiphae sulca,8,2
14,Acanthephyra purpu,31,5
14,Acanthephyra,4,1
14,Gnathophausia zoea,5,2
14,Polycheles nanus,65,11
14,Stereomastis sculp,28,2
14,Sergestes arcticus,2,1
14,Dumbo octopus,963,1
14,Zoroaster fulgens,84,3
14,Ophiomusium lymani,12,4
14,Phormosoma placent,216,15
14,Echinothuriidae,264,2
14,Anthoptilum,17,2
14,Atollidae,5480,61
14,Periphyllidae,7110,11
14,Colossendeidae,1,2
15,Acanthephyra pelag,58,9
15,Acanthephyra,21,3
15,Gnathophausia zoea,6,3
15,Pasiphaea,84,3
15,Polycheles nanus,25,3
15,Sergestes arcticus,2,1
15,Gonatus fabricii,10,1
15,Asteronyx loveni,4,1
15,Ophiomusium lymani,33,9
15,Phormosoma placent,49,4
15,Echinothuriidae,156,2
15,stephanauge nexili,1,1
15,Radicipes,2,4
15,Anthoptilum,14,2
15,Funiculina quadran,15,2
15,Jellyfish,3050,1
15,Atollidae,6100,67
15,Periphyllidae,9650,11
16,Pasiphaea,230,8
16,Acanthephyra pelag,60,9
16,Acanthephyra,12,2
16,Ephyrina,12,1
16,Gnathophausia zoea,1,1
16,Pasiphaea multiden,4,1
16,Polycheles nanus,20,3
16,Mediaster bairdi,47,4
16,Ophiomusium lymani,15,2
16,Phormosoma placent,477,35
16,Sea anemones,1628,1
16,Funiculina quadran,5,1
16,Atollidae,5250,47
16,Periphyllidae,6610,5
17,Pasiphaea,76,3
17,Acanthephyra pelag,256,42
17,Acanthephyra purpu,44,6
17,Acanthephyra,25,6
17,Pontophilus norveg,2,1
17,Sergestes arcticus,4,2
17,Notostomus,26,1
17,Echinasteridae,5,1
17,Mediaster bairdi,13,2
17,Psilaster andromed,11,1
17,Phormosoma placent,224,34
17,Hormathiidae,265,4
17,Sea anemones,36,1
17,stephanauge nexili,10,1
17,Heteropolypus,42,16
17,Nephtheidae,4,1
17,Funiculina quadran,4,1
17,Halipteris finmarc,162,7
17,Flabellum,83,11
