Table S4. Depth associated with each of the 183 trawls conducted during the 2022 European Union Flemish Cap bottom-trawl survey. Trawl is the unique haul identifier and Depth (m) is the mean trawling depth.,
Trawl,Depth (m)
1,1182
2,1128
3,1067
4,1180
5,1050
6,1160
7,1073
8,1095
9,1250
10,1219
11,1405
12,1450
13,1250
14,1350
15,1467
16,1337
17,984
18,1051
19,1130
20,870
21,860
22,771
23,833
24,1179
25,950
26,853
27,843
28,683
29,555
30,497
31,628
32,440
33,386
34,355
35,349
36,419
37,580
38,1023
39,877
40,474
41,390
42,588
43,339
44,279
45,298
46,267
47,252
48,261
49,240
50,224
51,244
52,242
53,970
54,650
55,513
56,348
57,296
58,353
59,410
60,1018
61,884
62,628
63,772
64,659
65,398
66,285
67,1234
68,962
69,770
70,528
71,289
72,275
73,240
74,177
75,186
76,232
77,295
78,357
79,712
80,486
81,737
82,610
83,979
84,570
85,384
86,292
87,310
88,217
89,176
90,160
91,215
92,213
93,294
94,1038
95,850
96,516
97,491
98,656
99,1078
100,1060
101,983
102,984
103,1028
104,952
105,880
106,515
107,414
108,482
109,1074
110,664
111,788
112,1008
113,1101
114,1153
115,1126
116,987
117,553
118,414
119,287
120,272
121,277
122,303
123,289
124,303
125,269
126,245
127,205
128,261
129,377
130,414
131,476
132,754
133,1175
134,1124
135,1222
136,1134
137,1165
138,444
139,190
140,227
141,178
142,166
143,164
144,253
145,261
146,262
147,236
148,190
149,167
150,161
151,146
152,164
153,216
154,233
155,274
156,282
157,298
158,297
159,325
160,328
161,326
162,351
163,375
164,493
165,400
166,366
167,236
168,317
169,211
170,195
171,176
172,133
173,141
174,246
175,128
176,195
177,383
178,866
179,721
180,465
181,326
182,398
183,584
