voucher_id,haul,strata,tax,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species,pre_taxid,gb_coi,bold_coi,gb_16s,blast_coi_id,blast_coi_ap,bold_coi_id,bold_coi_ap,blast_16s_id,blast_16s_ap,rev_tax,final_tax_phylum,final_tax_class,final_tax_order,final_tax_family,final_tax_genus,final_tax,final_taxid,bin,bin_congruence,evidence,accession_coi,accession_16s,bold_process_id
FC-22-001-01,1,30,Sertulariidae,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,NA,NA,86619,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-001-02,1,30,Anthoptilum grandiflorum,Cnidaria,Octocorallia,Scleralcyonacea,Anthoptilidae,Anthoptilum,Anthoptilum grandiflorum,1150258,1,1,1,Anthoptilum grandiflorum,100,Anthoptilum cf. grandiflorum ,100,Anthoptilum grandiflorum,100,NA,Cnidaria,Octocorallia,Scleralcyonacea,Anthoptilidae,Anthoptilum,Anthoptilum grandiflorum,1150258,BOLD:ACL7067,multiple,multiple,OZ240252,OZ238508,VMEFC001-25
FC-22-001-03,1,30,Henricia sp.,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,NA,60577,LTR,LTR,LTR,Henricia sp. CLADE A,"99,42",Henricia sanguinolenta,"99,21",Henricia sp. CLADE A,"99,67",Henricia cf. lisa ingolfi,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,Henricia cf. lisa ingolfi,3384885,BOLD:AAF2495,concordant,morphological,OZ240253,OZ238509,VMEFC002-25
FC-22-001-04,1,30,Stryphnus sp.,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,NA,77190,LTR,LTR,LTR,Stryphnus fortis,"99,68",Stryphnus ponderosus ,"99,68",Geodia barretti,"93,21",Stryphnus fortis,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,Stryphnus fortis,1006811,BOLD:ACB4853,concordant,multiple,OZ240254,OZ238510,VMEFC003-25
FC-22-001-05,1,30,Stryphnus sp.,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,NA,77190,LTR,LTR,LTR,Stryphnus fortis,"99,68",Stryphnus ponderosus ,"99,68",Macandrewia sp.,"92,73",Stryphnus fortis,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,Stryphnus fortis,1006811,BOLD:ACB4853,concordant,multiple,OZ240255,OZ238511,VMEFC004-25
FC-22-001-06,1,30,Mediaster bairdi,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,0,0,1,Mediaster aequalis,"96,67",No match,NA,Mediaster bairdi,"99,83",NA,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,BOLD:AFR6324,concordant,multiple,OZ240256,OZ238512,VMEFC005-25
FC-22-001-07,1,30,Phormosoma placenta,Echinodermata,Echinoidea,Echinothurioida,Phormosomatidae,Phormosoma,Phormosoma placenta,3258253,0,0,0,Caenopedina pulchella,"99,4",Phormosoma bursarium,"99,68",Caenopedina pulchella,"99,65",NA,Echinodermata,Echinoidea,Echinothurioida,Phormosomatidae,Phormosoma,Phormosoma placenta,3258253,BOLD:AAE0357,concordant,morphological,OZ240257,OZ238513,VMEFC006-25
FC-22-001-08,1,30,Gnathophausia zoea,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,1,1,1,Gnathophausia zoea,"99,65",Gnathophausia zoea,100,NA,NA,NA,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,BOLD:AAD5774,multiple,multiple,OZ240258,NA,VMEFC007-25
FC-22-001-09,1,30,Stereomastis nana,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,1,1,0,Stereomastis nana,"99,82",Stereomastis nana,100,Stereomastis panglao,"94,91",NA,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,BOLD:AAI0100,concordant,multiple,OZ240259,OZ238514,VMEFC008-25
FC-22-001-10,1,30,Porifera,Porifera,NA,NA,NA,NA,NA,6040,LTR,LTR,LTR,Niphatidae sp.,"96,3",Haliclona fibulata,100,Demospongiae sp.,"94,42",Hemigellius arcofer,Porifera,Demospongiae,Haplosclerida,Niphatidae,Hemigellius,Hemigellius arcofer,3292806,BOLD:ADR1447,concordant,morphological,OZ240260,OZ238515,VMEFC009-25
FC-22-002-01,2,30,Balticina finmarchica,Cnidaria,Octocorallia,Scleralcyonacea,Balticinidae,Balticina,Balticina finmarchica,2899797,1,0,1,Balticina finmarchica,"99,85",Balticina finmarchica,100,NA,NA,NA,Cnidaria,Octocorallia,Scleralcyonacea,Balticinidae,Balticina,Balticina finmarchica,2899797,BOLD:ABX8941,concordant,multiple,OZ240261,NA,VMEFC010-25
FC-22-002-02,2,30,Acanthephyra purpurea,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra purpurea,576170,1,1,1,Acanthephyra pelagica,100,Acanthephyra pelagica,"99,85",Acanthephyra pelagica,100,NA,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,342632,BOLD:AAC7822,multiple,genetic,OZ240262,OZ238516,VMEFC011-25
FC-22-002-03,2,30,Acanthephyra pelagica,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,342632,1,1,1,Acanthephyra pelagica,"99,7",Acanthephyra pelagica,"99,69",NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,342632,BOLD:AAC7822,multiple,multiple,OZ240263,NA,VMEFC012-25
FC-22-002-04,2,30,Pasiphaea tarda,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea tarda,98099,1,1,0,Pasiphaea tarda,100,Pasiphaea tarda,100,Pasiphaea merriami,"94,36",NA,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea tarda,98099,BOLD:AAB9072,multiple,multiple,OZ240264,OZ238517,VMEFC013-25
FC-22-002-05,2,30,Zoroaster fulgens,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,Zoroaster fulgens,231629,1,0,1,Zoroaster ophiactis ,"97,13",No match,NA,Zoroaster fulgens,"99,49",NA,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,Zoroaster fulgens,231629,BOLD:AHI8260,concordant,multiple,OZ240265,OZ238518,VMEFC014-25
FC-22-002-06,2,30,Porifera,Porifera,NA,NA,NA,NA,NA,6040,LTR,LTR,LTR,Thenea levis,100,Thenea levis,100,Poecillastra laminaris,"95,71",Thenea levis,Porifera,Demospongiae,Tetractinellida,Theneidae,Thenea,Thenea levis,1006813,BOLD:ACB4291,concordant,multiple,OZ240266,OZ238519,VMEFC015-25
FC-22-002-07,2,30,Hormathiidae,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,NA,NA,42824,LTR,LTR,LTR,Paraphelliactis xishaensis,"99,53",Actinauge sp.,100,NA,NA,NA,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Actinauge,Actinauge cristata,3279625,BOLD:AAE3706,multiple,morphological,OZ240267,NA,VMEFC016-25
FC-22-004-01,4,30,Didemnidae,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,NA,NA,107393,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-004-02,4,30,Gnathophausia zoea,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,1,1,1,Gnathophausia zoea,"99,66",Gnathophausia zoea,"98,9",NA,NA,NA,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,BOLD:AAD5774,multiple,multiple,OZ240268,NA,VMEFC017-25
FC-22-004-03,4,30,Astarte sp.,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,NA,98290,LTR,LTR,LTR,Astarte sulcata,"93,83",No match,NA,NA,NA,Astarte cf. sulcata,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,Astarte cf. sulcata MPL-2024,3384878,BOLD:AHJ5890,multiple,morphological,OZ240269,NA,VMEFC018-25
FC-22-004-04,4,30,Mediaster bairdi,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,0,0,1,NA,NA,NA,NA,Mediaster bairdi,"99,65",NA,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,NA,concordant,multiple,NA,OZ238520,VMEFC019-25
FC-22-004-05,4,30,Bathybiaster vexillifer,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Bathybiaster,Bathybiaster vexillifer,3254325,0,1,0,Astropectinidae sp. ,100,Bathybiaster vexillifer,100,Bathybiaster loripes,"99,1",NA,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Bathybiaster,Bathybiaster vexillifer,3254325,NA,concordant,multiple,OZ240270,OZ238521,VMEFC020-25
FC-22-004-06,4,30,Stereomastis nana,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,1,1,0,Stereomastis nana,"99,83",Stereomastis nana,100,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,BOLD:AAI0100,concordant,multiple,OZ240271,NA,VMEFC021-25
FC-22-004-07,4,30,Anthoptilum grandiflorum,Cnidaria,Octocorallia,Scleralcyonacea,Anthoptilidae,Anthoptilum,Anthoptilum grandiflorum,1150258,1,1,1,Anthoptilum grandiflorum,100,Anthoptilum grandiflorum,100,Anthoptilum grandiflorum,100,NA,Cnidaria,Octocorallia,Scleralcyonacea,Anthoptilidae,Anthoptilum,Anthoptilum grandiflorum,1150258,BOLD:ACL7067,multiple,multiple,OZ240272,OZ238522,VMEFC022-25
FC-22-004-08,4,30,Geodia sp.,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,NA,6046,LTR,LTR,LTR,Geodia macandrewii,"99,85",Geodia macandrewii,"99,85",Geodia barretti,"97,83",Geodia aff. macandrewii,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia aff. macandrewii MPL-2024,3384880,BOLD:ACE5193,concordant,morphological,OZ240273,OZ238523,VMEFC023-25
FC-22-004-09,4,30,Porifera,Porifera,NA,NA,NA,NA,NA,6040,LTR,LTR,LTR,Thenea levis,100,Thenea levis,100,Poecillastra laminaris,"95,45",Thenea levis,Porifera,Demospongiae,Tetractinellida,Theneidae,Thenea,Thenea levis,1006813,BOLD:ACB4291,concordant,multiple,OZ240274,OZ238524,VMEFC024-25
FC-22-004-10,4,30,Neolithodes grimaldii,Arthropoda,Malacostraca,Decapoda,Lithodidae,Neolithodes,Neolithodes grimaldii,1129392,1,1,0,Neolithodes grimaldii ,100,Neolithodes grimaldii,100,Neolithodes asperrimus,100,NA,Arthropoda,Malacostraca,Decapoda,Lithodidae,Neolithodes,Neolithodes grimaldii,1129392,BOLD:AAF0802,concordant,multiple,OZ240275,OZ238525,VMEFC025-25
FC-22-004-11,4,30,Cirrothauma murrayi,Mollusca,Cephalopoda,Octopoda,Cirroteuthidae,Cirrothauma,Cirrothauma murrayi,61702,1,1,1,Stauroteuthis syrtensis,"99,38",Stauroteuthis syrtensis,"99,7",Stauroteuthis syrtensis,100,NA,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Stauroteuthis syrtensis,61746,BOLD:AAJ5099,concordant,genetic,OZ240276,OZ238526,VMEFC026-25
FC-22-005-01,5,32,Taonius pavo,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Taonius,Taonius pavo,559551,1,1,1,Teuthowenia megalops,"99,68",Teuthowenia megalops,"99,7",Teuthowenia megalops,100,NA,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia,Teuthowenia megalops,279102,BOLD:AAW6796,concordant,genetic,OZ240277,OZ238527,VMEFC027-25
FC-22-005-02,5,32,Atolla sp.,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla,NA,86042,LTR,LTR,LTR,Atolla wyvillei,"98,75",Atolla sp.,"98,16",NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla,Atolla sp. MPL-2024,3384849,BOLD:AAG4832,concordant,multiple,OZ240278,NA,VMEFC028-25
